Longitude,Latitude,value
57.55,18.31666667,0
59.86666667,16.61666667,0
59.78333333,16.53333333,0
59.78333333,16.51666667,0
59.76666667,16.53333333,0
59.68333333,16.6,0
59.71666667,16.65,0
59.68333333,16.63333333,0
59.66666667,16.65,0
59.66666667,16.66666667,0
59.6,16.7,0
59.6,16.68333333,0
59.45,16.53333333,0
59.35,16.48333333,0
59.3,16.35,0
59.18333333,16.36666667,0
59.85,16.61666667,0
59.85,16.66666667,0
60.68333333,16.16666667,0
-131.8833333,-1.666666667,0
-132.5333333,2.066666667,0
-118.05,3.95,0
-99.93333333,5.65,0
-89.45,2.3,0
-96.7,-13.6,0
-97.8,-13.53333333,0
-107.9833333,-12.8,0
-111.2,-12.55,0
-112.6166667,-12.5,0
-113.4833333,-14.68333333,0
-119.6,-14,0
-122.4666667,-14.01666667,0
-125.35,-13.9,0
-128.4833333,-14.03333333,0
-139.5833333,-14.05,0
-142.45,-15.25,0
-145.1166667,-16.5,0
-145.8,-15.85,0
-147.45,-15.66666667,0
-133.2666667,0.45,0
-130.4833333,-2.683333333,0
-121.4333333,2.466666667,0
-105.9333333,2.433333333,0
-99.46666667,-3.5,0
-95.65,4.266666667,0
-85.63333333,4.033333333,0
-86.31666667,-0.416666667,0
-114.0666667,-5.016666667,0
-113.8666667,1.483333333,0
-140.25,4.466666667,0
159.25,32.33333333,0
159.2166667,32.31666667,0
-155,5.066666667,0
159.9833333,0.566666667,0
157.0666667,0.866666667,0
154.7666667,0.8,0
152.6166667,1.666666667,0
-21.1,53.86666667,0
-0.066666667,63.46666667,0
-166.5833333,-8.016666667,0
-130.6166667,4.566666667,0
-133.7333333,-1.783333333,0
-137.0666667,-2.516666667,0
-138.85,-0.15,0
-141.1333333,2.533333333,0
-160.5,5.35,0
59.6,17.21666667,0
65.08333333,10.03333333,0
59.95,17.2,0
58.46666667,19.5,0
57.83333333,17.7,0
57.5,17.81666667,0
57.7,17.66666667,0
57.58333333,17.75,0
57.48333333,17.75,0
57.35,17.81666667,0
61.48333333,15.98333333,0
58.36666667,19.23333333,0
58.51666667,19.23333333,0
58.26666667,19.21666667,0
58.35,19.28333333,0
58.48333333,19.51666667,0
58.23333333,19.26666667,0
58.61666667,19.65,0
59.8,16.61666667,0
58.8,17.38333333,0
-88.01666667,0.9,0
139.4166667,32.03333333,0
-54.9,42.46666667,0
-86.55,28.45,1
-92.46666667,23.75,1
-33.13333333,37.21666667,1
-11.61666667,35.05,1
-69.5,32.6,1
-65.11666667,32.28333333,1
-64.7,32.2,1
-63.56666667,17.55,1
-57.13333333,38.91666667,1
-54.03333333,36.9,0
-61.45,34.66666667,1
-64.6,40.76666667,0
-77.76666667,12.4,1
-37.86666667,8.233333333,1
-38.2,22.95,1
-43.8,23.01666667,1
-36.01666667,11.18333333,1
-34.48333333,-28.68333333,1
-57.96666667,-45.3,0
-20.36666667,-40.9,0
8.083333333,-36.5,0
7,-22.98333333,1
-11.78333333,-1.5,1
-16.05,1.75,0
-74.38333333,17,1
-40.51666667,15.48333333,1
-42.15,-50.76666667,0
15.91666667,-35.88333333,0
32.86666667,-29.65,0
43.78333333,-28.43333333,0
66.98333333,-2.45,0
65.51666667,3.866666667,0
58.56666667,8.65,0
57.18333333,10.25,0
56.23333333,11.45,0
48.4,12.86666667,0
45.63333333,12.61666667,0
-85.28333333,6.35,0
-49.06666667,-52.16666667,0
-47.4,-50.38333333,0
-34.4,-9.75,1
-75.91666667,30.51666667,1
-74.61666667,37.01666667,1
-74.15,37.68333333,0
-50.35,17.93333333,1
-48.41666667,17.26666667,1
-40.66666667,13.25,1
-24.68333333,-13.06666667,1
-19.71666667,-15.33333333,1
-15.1,-17.65,1
-11.43333333,-19.36666667,1
-8.95,-21.33333333,1
-4.75,-24.71666667,1
-1.1,-27.86666667,1
10.75,-32.13333333,0
12.58333333,-33.4,0
16.43333333,-33.35,0
31.26666667,-46.5,0
79.56666667,-29.75,0
82.95,-31.05,0
83.81666667,-31.63333333,0
84.85,-32.38333333,0
89.13333333,-33.38333333,0
91.71666667,-30.2,0
92.83333333,-28.88333333,0
95.18333333,-28.01666667,0
99.25,-31.53333333,0
115.1,-35.06666667,0
137.65,-48.08333333,0
153.9833333,-53.4,0
171.5,-46.7,0
-179.25,-47.01666667,0
-41.03333333,-28.83333333,0
-42.45,-27.95,1
-37.23333333,1.966666667,1
-43.4,15.4,1
-46.48333333,23.33333333,1
-51.86666667,30,1
-50.83333333,60.03333333,0
-65.05,28.48333333,1
-55.16666667,-40.56666667,0
-49.86666667,-33.15,0
